year,state_abbreviation,total_unemployed,total_labor_force,unemployment_rate,state_name
2015.0,VA,185901.0,4233978.0,0.04390693574695003,Virginia
2015.0,VT,12251.0,346515.0,0.035354890841666306,Vermont
2015.0,WA,193578.0,3554830.0,0.05445492470807324,Washington
2015.0,WI,137157.0,3084210.0,0.04447070724756096,Wisconsin
2015.0,WV,52078.0,791534.0,0.065793762491567,West Virginia
2015.0,WY,12716.0,301612.0,0.04216012625492355,Wyoming
2015.0,ia,26890.0,388446.0,0.06922455116026423,Unknown
2016.0,AK,23823.0,362020.0,0.06580575658803381,Alaska
2016.0,AL,126572.0,2155731.0,0.058714190221321676,Alabama
2016.0,AR,53463.0,1343902.0,0.03978191862204238,Arkansas
2016.0,AZ,177617.0,3253471.0,0.05459307920679176,Arizona
2016.0,CA,1046612.0,19012023.0,0.055050007040281825,California
2016.0,CO,90657.0,2894163.0,0.031324082299442016,Colorado
2016.0,CT,91809.0,1893198.0,0.048494135320235915,Connecticut
2016.0,DE,21168.0,468808.0,0.04515281309192676,Delaware
2016.0,FL,481070.0,9841314.0,0.048882700013433165,Florida
2016.0,GA,268075.0,4921819.0,0.054466651455488305,Georgia
2016.0,HI,19563.0,679121.0,0.02880635409595639,Hawaii
2016.0,IA,61013.0,1703168.0,0.035823242334285285,Iowa
2016.0,ID,29742.0,812922.0,0.036586535977621466,Idaho
2016.0,IL,386373.0,6559053.0,0.0589068269459021,Illinois
2016.0,IN,145405.0,3331831.0,0.04364116907490206,Indiana
2016.0,KS,60050.0,1491974.0,0.04024869066082921,Kansas
2016.0,KY,101165.0,2015646.0,0.05018986468854154,Kentucky
2016.0,LA,129056.0,2123693.0,0.060769612180291595,Louisiana
2016.0,MA,145172.0,3617500.0,0.04013047684865238,Massachusetts
2016.0,MD,135092.0,3155924.0,0.042805847035606685,Maryland
2016.0,ME,26196.0,693921.0,0.03775069496383594,Maine
2016.0,MI,241692.0,4848646.0,0.049847318199761334,Michigan
2016.0,MN,116772.0,3023123.0,0.03862628149764333,Minnesota
2016.0,MO,139452.0,3072912.0,0.045381058748184135,Missouri
2016.0,MS,75596.0,1271842.0,0.05943820065699985,Mississippi
2016.0,MT,22473.0,521742.0,0.04307301309842796,Montana
2016.0,NC,246393.0,4844854.0,0.05085664088123192,North Carolina
2016.0,ND,12781.0,411783.0,0.031038192446021327,North Dakota
2016.0,NE,31107.0,1016074.0,0.030614896159138014,Nebraska
2016.0,NH,21476.0,752476.0,0.028540445143765383,New Hampshire
2016.0,NJ,221622.0,4492822.0,0.04932801700134125,New Jersey
2016.0,NM,63729.0,944245.0,0.0674920174319165,New Mexico
2016.0,NV,81842.0,1414233.0,0.05787023778967115,Nevada
2016.0,NY,464161.0,9527028.0,0.04872044041436637,New York
2016.0,OH,290385.0,5754487.0,0.050462360936778555,Ohio
2016.0,OK,84838.0,1828066.0,0.04640860887954811,Oklahoma
2016.0,OR,96700.0,2042936.0,0.04733383718334789,Oregon
2016.0,PA,344248.0,6458894.0,0.053298289149814194,Pennsylvania
2016.0,PR,131420.0,1116302.0,0.11772799833736748,Unknown
2016.0,RI,28793.0,553234.0,0.05204488516613223,Rhode Island
2016.0,SC,111756.0,2286059.0,0.04888587739861482,South Carolina
2016.0,SD,13714.0,455136.0,0.030131652956478943,South Dakota
2016.0,TN,148724.0,3136405.0,0.0474186210007955,Tennessee
2016.0,TX,617952.0,13346855.0,0.0462994465737434,Texas
2016.0,UT,50156.0,1500136.0,0.0334343019566226,Utah
2016.0,VA,169528.0,4254361.0,0.039848052386715654,Virginia
2016.0,VT,10810.0,345853.0,0.031256053872599054,Vermont
2016.0,WA,189034.0,3648563.0,0.05181053472284842,Washington
2016.0,WI,121725.0,3110468.0,0.03913398241036397,Wisconsin
2016.0,WV,47903.0,785110.0,0.061014380150552154,West Virginia
2016.0,WY,16109.0,300547.0,0.05359893793649579,Wyoming
2016.0,ia,24571.0,395124.0,0.06218554175398103,Unknown
2017.0,AK,23484.0,360591.0,0.06512641746466218,Alaska
2017.0,AL,99590.0,2203466.0,0.04519697603684377,Alabama
2017.0,AR,50235.0,1348098.0,0.037263611399171274,Arkansas
2017.0,AZ,160411.0,3240111.0,0.049507871798219256,Arizona
2017.0,CA,927302.0,19185368.0,0.0483338135604175,California
2017.0,CO,77814.0,2963796.0,0.02625484345076382,Colorado
2017.0,CT,84878.0,1923713.0,0.04412196621845359,Connecticut
2017.0,DE,21264.0,475213.0,0.04474625062866546,Delaware
2017.0,FL,428098.0,9972992.0,0.0429257338219062,Florida
2017.0,GA,243082.0,5107907.0,0.047589355092017144,Georgia
2017.0,HI,15438.0,695303.0,0.022203269653661786,Hawaii
2017.0,IA,51847.0,1697510.0,0.030542971764525688,Iowa
2017.0,ID,26903.0,839780.0,0.032035771273428756,Idaho
2017.0,IL,324366.0,6562302.0,0.04942869133422997,Illinois
2017.0,IN,116652.0,3333704.0,0.03499170892196788,Indiana
2017.0,KS,53833.0,1488351.0,0.03616955946547555,Kansas
2017.0,KY,98171.0,2053412.0,0.04780872031526065,Kentucky
2017.0,LA,108003.0,2108497.0,0.05122274302500786,Louisiana
2017.0,MA,142130.0,3724521.0,0.038160611794107215,Massachusetts
2017.0,MD,129317.0,3243898.0,0.039864693649430405,Maryland
2017.0,ME,23708.0,703873.0,0.03368221255823139,Maine
2017.0,MI,225401.0,4911256.0,0.04589477722195707,Michigan
2017.0,MN,107179.0,3071011.0,0.03490023318053892,Minnesota
2017.0,MO,114226.0,3053541.0,0.0374077177938662,Missouri
2017.0,MS,66591.0,1272692.0,0.0523229500931883,Mississippi
2017.0,MT,21570.0,528443.0,0.04081802578518402,Montana
2017.0,NC,219695.0,4865908.0,0.045149846647326665,North Carolina
2017.0,ND,10862.0,415769.0,0.026125083880712607,North Dakota
2017.0,NE,30425.0,1023170.0,0.029736016497747198,Nebraska
2017.0,NH,21214.0,758133.0,0.027981897635375324,New Hampshire
2017.0,NJ,208804.0,4614956.0,0.04524506842535443,New Jersey
2017.0,NM,57592.0,948581.0,0.0607138452066824,New Mexico
2017.0,NV,72243.0,1444268.0,0.050020494811212325,Nevada
2017.0,NY,455421.0,9838172.0,0.04629122158059444,New York
2017.0,OH,289503.0,5818986.0,0.04975145154155724,Ohio
2017.0,OK,73541.0,1826279.0,0.040268217506744586,Oklahoma
2017.0,OR,84181.0,2075687.0,0.04055572925975834,Oregon
2017.0,PA,323342.0,6485260.0,0.04985798564745284,Pennsylvania
2017.0,PR,118942.0,1096546.0,0.1084696857222588,Unknown
2017.0,RI,25594.0,568146.0,0.045048279843561335,Rhode Island
2017.0,SC,95064.0,2261769.0,0.042030817470749667,South Carolina
2017.0,SD,13889.0,455339.0,0.03050254865056584,South Dakota
2017.0,TN,119522.0,3197036.0,0.03738525309067524,Tennessee
2017.0,TX,585981.0,13474010.0,0.04348972577577128,Texas
2017.0,UT,48939.0,1554351.0,0.03148516647784188,Utah
2017.0,VA,159691.0,4352985.0,0.03668540093751759,Virginia
2017.0,VT,10683.0,355381.0,0.030060695422659062,Vermont
2017.0,WA,172932.0,3727690.0,0.046391196692858044,Washington
2017.0,WI,102407.0,3141758.0,0.03259544497061836,Wisconsin
2017.0,WV,40954.0,784740.0,0.05218798582970156,West Virginia
2017.0,WY,12641.0,293805.0,0.04302513571926958,Wyoming
2017.0,ia,23938.0,393326.0,0.060860456720379534,Unknown
2018.0,AK,21429.0,355498.0,0.06027882013400919,Alaska
2018.0,AL,87843.0,2240111.0,0.03921368182201686,Alabama
2018.0,AR,49055.0,1343869.0,0.03650281389034199,Arkansas
2018.0,AZ,159708.0,3325720.0,0.048022082436284474,Arizona
2018.0,CA,819597.0,19289508.0,0.042489264111868486,California
2018.0,CO,92924.0,3054351.0,0.03042348439979557,Colorado
2018.0,CT,74503.0,1923874.0,0.038725509051008536,Connecticut
2018.0,DE,17825.0,480370.0,0.03710681349792868,Delaware
2018.0,FL,368713.0,10118319.0,0.036440143861841086,Florida
2018.0,GA,204445.0,5126943.0,0.03987658922675754,Georgia
2018.0,HI,16609.0,692457.0,0.02398560488232482,Hawaii
2018.0,IA,44000.0,1711823.0,0.02570359201856734,Iowa
2018.0,ID,24667.0,862436.0,0.02860154260721955,Idaho
2018.0,IL,286582.0,6557425.0,0.0437034354186285,Illinois
2018.0,IN,115780.0,3392587.0,0.03412734883438509,Indiana
2018.0,KS,50163.0,1493375.0,0.03359035741190257,Kansas
2018.0,KY,86694.0,2052885.0,0.04223032464068859,Kentucky
2018.0,LA,101762.0,2109745.0,0.048234265278505224,Louisiana
2018.0,MA,132571.0,3818770.0,0.034715628330588125,Massachusetts
2018.0,MD,124151.0,3270636.0,0.03795928376010048,Maryland
2018.0,ME,22269.0,700855.0,0.031774047413516346,Maine
2018.0,MI,205720.0,4944803.0,0.04160327519620094,Michigan
2018.0,MN,92433.0,3075098.0,0.03005855423144238,Minnesota
2018.0,MO,98479.0,3048444.0,0.032304677402635575,Missouri
2018.0,MS,62702.0,1268048.0,0.04944765497836044,Mississippi
2018.0,MT,19930.0,535147.0,0.03724210357154203,Montana
2018.0,NC,196274.0,4911891.0,0.039958948600447367,North Carolina
2018.0,ND,9866.0,412073.0,0.023942359727524006,North Dakota
2018.0,NE,30130.0,1036414.0,0.02907139424978821,Nebraska
2018.0,NH,20184.0,770468.0,0.026197064641231043,New Hampshire
2018.0,NJ,184076.0,4604791.0,0.03997488702527433,New Jersey
2018.0,NM,46575.0,944937.0,0.049289000219062226,New Mexico
2018.0,NV,65410.0,1494697.0,0.04376137772404708,Nevada
2018.0,NY,401920.0,9826134.0,0.04090316700342169,New York
2018.0,OH,261864.0,5819990.0,0.04499389174208203,Ohio
2018.0,OK,60011.0,1831262.0,0.03277029720487838,Oklahoma
2018.0,OR,83560.0,2080050.0,0.04017211124732579,Oregon
2018.0,PA,287772.0,6509778.0,0.044206115784593575,Pennsylvania
2018.0,PR,99530.0,1081703.0,0.09201231761398461,Unknown
2018.0,RI,23134.0,572664.0,0.040397161337189,Rhode Island
2018.0,SC,76669.0,2282028.0,0.033596870853468935,South Carolina
2018.0,SD,12789.0,459206.0,0.027850245859156894,South Dakota
2018.0,TN,113262.0,3257057.0,0.034774337691971614,Tennessee
2018.0,TX,535347.0,13714148.0,0.03903611073761199,Texas
2018.0,UT,46199.0,1584500.0,0.02915683180814137,Utah
2018.0,VA,130787.0,4359065.0,0.030003452575265568,Virginia
2018.0,VT,8791.0,355347.0,0.0247391985861707,Vermont
2018.0,WA,168546.0,3814540.0,0.04418514421135969,Washington
2018.0,WI,93242.0,3123896.0,0.029847984696033416,Wisconsin
2018.0,WV,40813.0,793418.0,0.05143946822481971,West Virginia
2018.0,WY,11878.0,292632.0,0.04059022936657645,Wyoming
2018.0,ia,22402.0,395604.0,0.05662733440511218,Unknown
2019.0,AK,19832.0,352030.0,0.05633610771809221,Alaska
2019.0,AL,72458.0,2271839.0,0.03189398544527143,Alabama
2019.0,AR,47316.0,1353176.0,0.03496662666201588,Arkansas
